Eval_Point,BERT_Uniqueness_R,BERT_Redundancy_R,DistilBERT_Uniqueness_R,DistilBERT_Redundancy_R,RoBERTa_Uniqueness_R,RoBERTa_Redundancy_R,ALBERT_Uniqueness_R,ALBERT_Redundancy_R,XLNet_Uniqueness_R,XLNet_Redundancy_R
Sample 1 $\theta=0.00$,0.2453924524720151,3.885780586188048e-16,0.15681610327225648,0.0,0.14447029923828428,8.378714388967978e-16,0.20170299289568167,2.7755575615628914e-16,0.09468618238154078,5.967448757360216e-16
Sample 1 $\theta=0.10$,0.15962101075507942,2.498001805406602e-16,0.1262782906873208,2.7755575615628914e-16,0.09159118072112313,4.440892098500626e-16,0.009058698269639287,1.1102230246251565e-16,0.07150197947470549,4.3021142204224816e-16
Sample 1 $\theta=0.20$,0.5529659921268337,7.771561172376096e-16,0.1605303124359298,3.885780586188048e-16,0.21413941440263795,1.1553258350005535e-15,0.09914722900416917,1.6653345369377348e-16,0.18786261653030964,1.1119577481011333e-15
Sample 1 $\theta=0.30$,0.3416994939606854,4.996003610813204e-16,0.12393142959168796,1.1102230246251565e-16,0.15203555138867964,8.777700788442644e-16,0.18641942948903378,2.220446049250313e-16,0.16209926114148676,9.471590178833367e-16
Sample 1 $\theta=0.40$,0.1428842652952382,2.220446049250313e-16,0.1408863918969402,5.551115123125783e-17,0.08484065760776513,4.926614671774132e-16,0.2303615518751681,2.7755575615628914e-16,0.10788885428010672,6.245004513516506e-16
Sample 1 $\theta=0.50$,0.30648790711401597,5.551115123125783e-16,0.19961540807746275,2.7755575615628914e-17,0.0948172346036491,7.216449660063518e-16,0.13265455112871438,3.3306690738754696e-16,0.1266753410516625,9.159339953157541e-16
Sample 1 $\theta=0.60$,0.10694341028792931,5.551115123125783e-16,0.2665093599647631,2.7755575615628914e-17,0.07739967872340658,0.0,0.06564822054348263,4.440892098500626e-16,0.001987587379342015,5.551115123125783e-16
Sample 1 $\theta=0.70$,0.21719678276521437,6.661338147750939e-16,0.3436560367643854,1.1102230246251565e-16,0.1946954443183253,4.440892098500626e-16,0.02704510939366045,3.885780586188048e-16,0.23008952462330645,1.6653345369377348e-15
Sample 1 $\theta=0.80$,0.20771624816409062,7.771561172376096e-16,0.3942757824950026,1.8041124150158794e-16,0.10644455667106656,0.0,0.05194114374006026,3.885780586188048e-16,0.12474199044593304,1.1102230246251565e-15
Sample 1 $\theta=0.90$,0.42034390119223175,6.661338147750939e-16,0.40909766796194885,2.498001805406602e-16,0.04564087038612358,4.996003610813204e-16,0.2813970615900607,3.3306690738754696e-16,0.268773939415784,1.582067810090848e-15
Sample 2 $\theta=0.00$,0.0036571947884842526,5.551115123125783e-16,0.3624584797734326,1.1102230246251565e-16,0.0003202177025909414,4.440892098500626e-16,0.1974633662317209,6.661338147750939e-16,0.025607532260312316,5.551115123125783e-16
Sample 2 $\theta=0.10$,0.007231283499049335,5.551115123125783e-16,0.3995484345337821,1.1102230246251565e-16,0.0007026338311784119,4.440892098500626e-16,0.20814451358535446,7.771561172376096e-16,0.031869987288555834,4.440892098500626e-16
Sample 2 $\theta=0.20$,0.003961698350864684,5.551115123125783e-16,0.4542312643946953,0.0,0.0013242586602799644,4.440892098500626e-16,0.24932219812123235,7.771561172376096e-16,0.03033655818548242,4.440892098500626e-16
Sample 2 $\theta=0.30$,0.0821726158024152,6.661338147750939e-16,0.09511407937967348,5.551115123125783e-16,0.008675409618799979,2.220446049250313e-16,0.2957490514896388,3.885780586188048e-16,0.08588102443683676,2.220446049250313e-16
Sample 2 $\theta=0.40$,0.08465617654106539,6.661338147750939e-16,0.054684657912428214,4.440892098500626e-16,0.01266002778279185,3.3306690738754696e-16,0.27228043712877326,3.885780586188048e-16,0.08210061698573712,2.220446049250313e-16
Sample 2 $\theta=0.50$,0.33007230326410697,8.881784197001252e-16,0.03794184128683914,4.440892098500626e-16,0.47210404539112116,2.1094237467877974e-15,0.13569047710171134,3.3306690738754696e-16,0.6646075085142242,3.747002708109903e-15
Sample 2 $\theta=0.60$,0.11094051058678889,5.551115123125783e-16,0.2140740588874917,2.7755575615628914e-17,0.06584090231290474,1.1102230246251565e-16,0.10354906699664312,4.440892098500626e-16,0.013262373245260695,5.551115123125783e-16
Sample 2 $\theta=0.70$,0.26530389601697757,8.881784197001252e-16,0.008138920311483944,3.3306690738754696e-16,0.05483427567894994,6.661338147750939e-16,0.18623413196363536,3.3306690738754696e-16,0.017157148533586075,6.661338147750939e-16
Sample 2 $\theta=0.80$,0.3832022512034563,8.881784197001252e-16,0.35624038831277577,6.938893903907228e-17,0.41084559134973814,1.6653345369377348e-15,0.11980955991653791,3.885780586188048e-16,0.6356143095371898,3.58046925441613e-15
