ContextType,ContextLabel,TargetModel,Dose,MeanDisagreement,StdDisagreement,NumPoints,ContextRawSize
length,len_long_(>15),BERT,0.0,0.1563013397343093,0.11898584367696717,200,561
length,len_long_(>15),BERT,0.1,0.1649201329378411,0.10893663763399061,200,561
length,len_long_(>15),BERT,0.2,0.18243393043216202,0.12182435240429558,200,561
length,len_long_(>15),BERT,0.30000000000000004,0.25584485945946656,0.0722035605948875,200,561
length,len_long_(>15),BERT,0.4,0.27467240735815723,0.10548727000924316,200,561
length,len_long_(>15),BERT,0.5,0.264138866720823,0.09701063420154792,200,561
length,len_long_(>15),BERT,0.6000000000000001,0.28545686732119063,0.11113839007110807,200,561
length,len_long_(>15),BERT,0.7000000000000001,0.29583059533601047,0.11617392125806582,200,561
length,len_long_(>15),BERT,0.8,0.323399529500748,0.11549039490682442,200,561
length,len_long_(>15),BERT,0.9,0.3860057639691513,0.12563569271896777,200,561
length,len_long_(>15),DistilBERT,0.0,0.43717933657997493,0.21731374302707016,200,561
length,len_long_(>15),DistilBERT,0.1,0.44400661796440544,0.1523681646540583,200,561
length,len_long_(>15),DistilBERT,0.2,0.4266975997781992,0.13195493955227072,200,561
length,len_long_(>15),DistilBERT,0.30000000000000004,0.34950811561313455,0.11344625225300932,200,561
length,len_long_(>15),DistilBERT,0.4,0.3374116064113332,0.11325718400904834,200,561
length,len_long_(>15),DistilBERT,0.5,0.33283755318167096,0.13996429367214977,200,561
length,len_long_(>15),DistilBERT,0.6000000000000001,0.3416691832068318,0.1456170457295219,200,561
length,len_long_(>15),DistilBERT,0.7000000000000001,0.37756188784420375,0.17705286391315656,200,561
length,len_long_(>15),DistilBERT,0.8,0.4297027738101315,0.202469688895954,200,561
length,len_long_(>15),DistilBERT,0.9,0.5368112715688766,0.18793238776915955,200,561
length,len_long_(>15),RoBERTa,0.0,0.15287175401605055,0.10662031446822724,200,561
length,len_long_(>15),RoBERTa,0.1,0.16322387031541438,0.10161070062500563,200,561
length,len_long_(>15),RoBERTa,0.2,0.18217306828679283,0.11509118289553606,200,561
length,len_long_(>15),RoBERTa,0.30000000000000004,0.2629065963079483,0.07671886915008132,200,561
length,len_long_(>15),RoBERTa,0.4,0.27326423344566136,0.08827082991188684,200,561
length,len_long_(>15),RoBERTa,0.5,0.2751210114701098,0.09312869790310337,200,561
length,len_long_(>15),RoBERTa,0.6000000000000001,0.2923605470986513,0.10356222181095055,200,561
length,len_long_(>15),RoBERTa,0.7000000000000001,0.28540576815517854,0.09191293203561693,200,561
length,len_long_(>15),RoBERTa,0.8,0.31447290755924767,0.10595689465882932,200,561
length,len_long_(>15),RoBERTa,0.9,0.36645388658798767,0.10411804910863354,200,561
length,len_long_(>15),ALBERT,0.0,0.16795560351893074,0.12870925166953845,200,561
length,len_long_(>15),ALBERT,0.1,0.17303732151325676,0.11630397140387029,200,561
length,len_long_(>15),ALBERT,0.2,0.1979092454813508,0.13614986179984928,200,561
length,len_long_(>15),ALBERT,0.30000000000000004,0.3508628030085674,0.07741428859418666,200,561
length,len_long_(>15),ALBERT,0.4,0.35566978896677026,0.07844442603891849,200,561
length,len_long_(>15),ALBERT,0.5,0.33944599330330677,0.08828707230993638,200,561
length,len_long_(>15),ALBERT,0.6000000000000001,0.3412000908945629,0.08331802028860746,200,561
length,len_long_(>15),ALBERT,0.7000000000000001,0.34096428501579795,0.09014465105094581,200,561
length,len_long_(>15),ALBERT,0.8,0.318857002989389,0.09586735228371338,200,561
length,len_long_(>15),ALBERT,0.9,0.33764133746211883,0.0813380408395531,200,561
length,len_long_(>15),XLNet,0.0,0.15283459965325163,0.10040880170296887,200,561
length,len_long_(>15),XLNet,0.1,0.16170992328021383,0.09701101342587594,200,561
length,len_long_(>15),XLNet,0.2,0.1767488889339438,0.10472798819949201,200,561
length,len_long_(>15),XLNet,0.30000000000000004,0.25967802743180074,0.07337402760108727,200,561
length,len_long_(>15),XLNet,0.4,0.27303996192727936,0.09223773617713339,200,561
length,len_long_(>15),XLNet,0.5,0.26407016794910304,0.09009361507884737,200,561
length,len_long_(>15),XLNet,0.6000000000000001,0.26969007972133113,0.08242886001916085,200,561
length,len_long_(>15),XLNet,0.7000000000000001,0.27035106512732454,0.08905148514669498,200,561
length,len_long_(>15),XLNet,0.8,0.26728530664287975,0.0831318868332914,200,561
length,len_long_(>15),XLNet,0.9,0.29192384478810707,0.07327501674813224,200,561
length,len_medium_(8-15),BERT,0.0,0.16398858387845394,0.15006201081177814,200,246
length,len_medium_(8-15),BERT,0.1,0.167773978930054,0.13252744808106914,200,246
length,len_medium_(8-15),BERT,0.2,0.1713137313084735,0.11884079029297372,200,246
length,len_medium_(8-15),BERT,0.30000000000000004,0.22735108284316083,0.09848100111151861,200,246
length,len_medium_(8-15),BERT,0.4,0.2665285192362353,0.08308907556637848,200,246
length,len_medium_(8-15),BERT,0.5,0.2667739088799135,0.09069839455801897,200,246
length,len_medium_(8-15),BERT,0.6000000000000001,0.2846965960316447,0.11084285436569358,200,246
length,len_medium_(8-15),BERT,0.7000000000000001,0.27366396788616837,0.11646234150592659,200,246
length,len_medium_(8-15),BERT,0.8,0.2811166329747357,0.10700781342645731,200,246
length,len_medium_(8-15),BERT,0.9,0.29161005071990076,0.1113799970330703,200,246
length,len_medium_(8-15),DistilBERT,0.0,0.44660921356087785,0.2218336059095665,200,246
length,len_medium_(8-15),DistilBERT,0.1,0.4506877364855609,0.16817359626310643,200,246
length,len_medium_(8-15),DistilBERT,0.2,0.4472153491458448,0.12907771822687536,200,246
length,len_medium_(8-15),DistilBERT,0.30000000000000004,0.38945613268682794,0.12622587606304395,200,246
length,len_medium_(8-15),DistilBERT,0.4,0.3510654636899562,0.10156015233152796,200,246
length,len_medium_(8-15),DistilBERT,0.5,0.34131188333936735,0.11659407544527857,200,246
length,len_medium_(8-15),DistilBERT,0.6000000000000001,0.3468788839987974,0.13155797318664228,200,246
length,len_medium_(8-15),DistilBERT,0.7000000000000001,0.3023264469179412,0.13815154198719132,200,246
length,len_medium_(8-15),DistilBERT,0.8,0.3556024909905682,0.18204346394345808,200,246
length,len_medium_(8-15),DistilBERT,0.9,0.3807284776054439,0.20154262276072077,200,246
length,len_medium_(8-15),RoBERTa,0.0,0.15191156361725006,0.11604321069036473,200,246
length,len_medium_(8-15),RoBERTa,0.1,0.1600123410719243,0.11578727720670642,200,246
length,len_medium_(8-15),RoBERTa,0.2,0.16196254410599067,0.09254374763717997,200,246
length,len_medium_(8-15),RoBERTa,0.30000000000000004,0.2281290205915866,0.09677406616255466,200,246
length,len_medium_(8-15),RoBERTa,0.4,0.26923918583568596,0.08253131179189009,200,246
length,len_medium_(8-15),RoBERTa,0.5,0.27447008146729784,0.08780088616118288,200,246
length,len_medium_(8-15),RoBERTa,0.6000000000000001,0.28015184603362286,0.08524386045700953,200,246
length,len_medium_(8-15),RoBERTa,0.7000000000000001,0.2616188290341961,0.09656257605009784,200,246
length,len_medium_(8-15),RoBERTa,0.8,0.27531267219615985,0.10170394688573971,200,246
