TargetModel,Dose,GlobalDisagreement_D,MAE_SinglePeer,BestPeerName,MAE_OracleRouter,MAE_ConvexRouter,NumFitSamples,NumEvalSamples
BERT,0.0,0.16068087426790828,0.05238663674323759,RoBERTa,0.019210978919233176,0.05481114501686396,348,524
BERT,0.1,0.16449583738548573,0.06021849308958284,RoBERTa,0.01995744351117662,0.058255940736718186,348,524
BERT,0.2,0.17849214402676045,0.0747087231015974,XLNet,0.02521766859490179,0.0696344944092142,348,524
BERT,0.30000000000000004,0.25615311965870874,0.10575568845008149,XLNet,0.04046015511222454,0.12305510089685774,348,524
BERT,0.4,0.2691309271556206,0.11667432808279475,XLNet,0.04954782313743219,0.13931051877689163,348,524
BERT,0.5,0.2701399725021113,0.13416866071218755,RoBERTa,0.05628341355239742,0.14844088274055556,348,524
BERT,0.6000000000000001,0.2812980974878661,0.1569988440516945,RoBERTa,0.06630599277048685,0.16561499292024168,348,524
BERT,0.7000000000000001,0.2806963187858786,0.16725966195999786,RoBERTa,0.06789951654393687,0.17538137094591644,348,524
BERT,0.8,0.312115025557682,0.17935435555254123,RoBERTa,0.08268486463597208,0.19851038110172142,348,524
BERT,0.9,0.35211423106039125,0.1744869786951396,RoBERTa,0.0895415486894301,0.22307473809773073,348,524
DistilBERT,0.0,0.4494961029702761,0.4278371973184936,ALBERT,0.402799948831782,0.4278371965696767,348,524
DistilBERT,0.1,0.447377159766795,0.4265274636003985,ALBERT,0.39552038248714133,0.42652746301688016,348,524
DistilBERT,0.2,0.4429226588502645,0.39834017937258465,ALBERT,0.36563224901728697,0.39834017903370295,348,524
DistilBERT,0.30000000000000004,0.3723898188991717,0.15654679406092162,ALBERT,0.14098296163804502,0.1565467943474547,348,524
DistilBERT,0.4,0.3474468769611316,0.10232750456518039,ALBERT,0.08853354765091603,0.10232750430415145,348,524
DistilBERT,0.5,0.33779744720298627,0.10584316366416124,ALBERT,0.08550990058752558,0.10584316369140997,348,524
DistilBERT,0.6000000000000001,0.3401471454827786,0.12118361668504832,ALBERT,0.09393871264427346,0.12118361763245969,348,524
DistilBERT,0.7000000000000001,0.3399270842335487,0.16624962615261552,ALBERT,0.11374129859427566,0.16624962769692997,348,524
DistilBERT,0.8,0.39983337563304816,0.23388901943667928,ALBERT,0.16588168338790735,0.23388902259748134,348,524
DistilBERT,0.9,0.4788334967976137,0.3090861016397457,ALBERT,0.24561161061887493,0.3090861065274225,348,524
RoBERTa,0.0,0.15488066980514173,0.03665786391341408,XLNet,0.010729335333615673,0.03703577665659191,348,524
RoBERTa,0.1,0.16475334889727292,0.05164577404763825,XLNet,0.017462541520911472,0.048471341397947794,348,524
RoBERTa,0.2,0.18152809534562914,0.06994558137492499,XLNet,0.019524857182458277,0.06869311611197167,348,524
RoBERTa,0.30000000000000004,0.2613161557522824,0.09221040034948365,XLNet,0.034781904835647186,0.10305325438595006,348,524
RoBERTa,0.4,0.27419177483548324,0.09099674399887507,XLNet,0.03720857051361347,0.11062237296625425,348,524
RoBERTa,0.5,0.2739685041343843,0.10686484171432631,XLNet,0.04073070762710084,0.11531097332695968,348,524
RoBERTa,0.6000000000000001,0.279143182012161,0.1172327971675092,XLNet,0.05031591609579365,0.12545256093070387,348,524
RoBERTa,0.7000000000000001,0.27957449764681347,0.14612941035488977,XLNet,0.057168416674906485,0.14400942014989856,348,524
RoBERTa,0.8,0.29588231986223273,0.15486361877703933,XLNet,0.06556837370562303,0.14728965422261903,348,524
RoBERTa,0.9,0.34081283425712866,0.1744869786951396,BERT,0.09553710390917623,0.173140256116055,348,524
ALBERT,0.0,0.1627690591232319,0.07006295406986525,RoBERTa,0.03454633188717874,0.24313150546490683,348,524
ALBERT,0.1,0.17175814230587919,0.08163867075772038,BERT,0.03620702982241446,0.24693676811709941,348,524
ALBERT,0.2,0.18630773680174814,0.11281056875665806,RoBERTa,0.043060571273752374,0.23430132222699274,348,524
ALBERT,0.30000000000000004,0.3227942199467922,0.15654679406092162,DistilBERT,0.08009551305162546,0.20266773900827073,348,524
ALBERT,0.4,0.34381378505469273,0.10232750456518039,DistilBERT,0.08447603047845391,0.19356602924993382,348,524
ALBERT,0.5,0.33725567930305816,0.10584316366416124,DistilBERT,0.09103756183260725,0.18197515646585793,348,524
ALBERT,0.6000000000000001,0.33205217800123343,0.12118361668504832,DistilBERT,0.10397363475920235,0.17207407863010404,348,524
ALBERT,0.7000000000000001,0.31733937265019496,0.16624962615261552,DistilBERT,0.1267030338458148,0.1593686536115138,348,524
ALBERT,0.8,0.320800073756432,0.23388901943667928,DistilBERT,0.1550730302474881,0.13910954562143468,348,524
ALBERT,0.9,0.3176911331229487,0.20444965065212098,XLNet,0.14593452851479974,0.1121938417531228,348,524
XLNet,0.0,0.15722520612417396,0.03665786391341408,RoBERTa,0.014726435821054625,0.06717715311708901,348,524
XLNet,0.1,0.16619207136265673,0.05164577404763825,RoBERTa,0.017990288265613316,0.07811411323373879,348,524
XLNet,0.2,0.18113024865252061,0.06994558137492499,RoBERTa,0.02524422580709073,0.09043731887412511,348,524
XLNet,0.30000000000000004,0.25298331397697654,0.09221040034948365,RoBERTa,0.03225341634187254,0.12992646967985189,348,524
XLNet,0.4,0.2657234083913544,0.09099674399887507,RoBERTa,0.03648936770054803,0.1305863882049889,348,524
XLNet,0.5,0.27149223611481377,0.10686484171432631,RoBERTa,0.046539371693129154,0.14684048131335134,348,524
XLNet,0.6000000000000001,0.2703753081650228,0.1172327971675092,RoBERTa,0.05396381654998355,0.14522767609496212,348,524
