target,family,trackwise_clean_pier,trackwise_high_pier,trackwise_delta,trackwise_relative_delta,trackwise_delta_median,trackwise_delta_standard_deviation,trackwise_delta_minimum,trackwise_delta_maximum,bootstrap_lower,bootstrap_upper,probability_delta_positive,positive_split_count,negative_split_count,stability_label,old_mean_response_delta,delta_difference_due_to_correction,endpoint_sign_changed_from_v21,calibrated_delta,interface_corrected_delta
Qwen/Qwen2.5-7B-Instruct,content_deletion,0.14659635300772597,0.1490573826118298,0.002461029604103812,0.018060464469506265,0.004149270208293546,0.007258448487103742,-0.010281967702921307,0.013231345727388683,-0.004005650067918,0.0090449993798991,0.792,7,3,exploratory,-0.018831509232910805,0.021292538837014617,True,-0.006143555375129942,0.001969400414055042
Qwen/Qwen2.5-7B-Instruct,irrelevant_context,0.1496409682878882,0.17885095668946735,0.02920998840157914,0.19810420924900723,0.027928704752013964,0.006453657629159067,0.02009270913593883,0.043292799614735505,0.0233027041927963,0.0352618654830615,1.0,10,0,stable,0.018135110898015765,0.011074877503563375,False,0.010528879326780139,0.02193073441730775
TIGER-Lab/General-Reasoner-Qwen2.5-7B,content_deletion,0.13243070119933498,0.13589263497903303,0.0034619337796981007,0.02649153513816378,0.0035900201894553535,0.005715419600606755,-0.005867207160672794,0.01155185502984818,-0.0020064350014562,0.0089584289933279,0.886,7,3,exploratory,-0.011337019723729188,0.01479895350342729,True,-0.004893312811575376,0.006728048586053148
TIGER-Lab/General-Reasoner-Qwen2.5-7B,irrelevant_context,0.13669159230080394,0.14696609540548594,0.01027450310468197,0.07633148630680851,0.01109690747110556,0.005306277529169452,0.0013703945739947099,0.01806466038802204,0.0049585936127065,0.0156583459626432,1.0,10,0,stable,0.00530362598526816,0.004970877119413811,False,-0.00494055267309665,0.016132824041117037
allenai/OLMo-2-1124-13B-Instruct,content_deletion,0.2075870783783839,0.18322107853103933,-0.02436599984734456,-0.1165510318308864,-0.02563461220520824,0.008670137895368657,-0.034595850679224244,-0.006061384984790863,-0.0308502687591319,-0.0175678040090281,0.0,0,10,stable,-0.03731212571217319,0.012946125864828632,False,-0.015304107384024384,-0.01708422206180776
allenai/OLMo-2-1124-13B-Instruct,irrelevant_context,0.20762629439971264,0.19261361298828744,-0.015012681411425213,-0.0722602726464673,-0.012456022349012719,0.006942494349974205,-0.025436170046537893,-0.006644872424872855,-0.0197582516521748,-0.0097918058948853,0.0,0,10,stable,-0.020830513027914506,0.005817831616489293,False,-0.01627287446125129,-0.01376841857334532
google/gemma-3-12b-it,content_deletion,0.25097913268779387,0.25157594775155584,0.0005968150637619713,0.002801995846291884,2.494679827205748e-05,0.009221342677607967,-0.010382864687733723,0.01784245748770899,-0.0069380553766597,0.0082313226860955,0.582,5,5,exploratory,-0.039455837819810484,0.04005265288357245,True,-0.007383961146167017,-0.0033222220339218845
google/gemma-3-12b-it,irrelevant_context,0.25367641444310796,0.2696154566522362,0.015939042209128226,0.06308321690605175,0.015338236607722336,0.005989319989545239,0.00819666788005785,0.025026577064132027,0.008760473096541,0.0224498974469632,1.0,10,0,stable,-1.0405417824321806e-07,0.015939146263306468,True,-0.006335134929339232,0.011935485883495823
ibm-granite/granite-3.3-8b-instruct,content_deletion,0.21461902978312378,0.19957769283898388,-0.015041336944139904,-0.0692142555753328,-0.012589423413219683,0.009882631373602527,-0.03927037551757917,-0.0018052766247552698,-0.0217221963821678,-0.008110952765069,0.0,0,10,stable,-0.035647370560601375,0.02060603361646147,False,-0.008320308236723794,-0.015594882527519217
ibm-granite/granite-3.3-8b-instruct,irrelevant_context,0.2140843804681009,0.19710203110699548,-0.016982349361105434,-0.07911114857569752,-0.01686597465873968,0.004733551011001075,-0.024236083746739523,-0.009219952800285175,-0.0233314819850859,-0.010993171195869,0.0,0,10,stable,-0.02533740874708239,0.008355059385976957,False,-0.012355812302371153,-0.01961508947680555
microsoft/Phi-4-reasoning-plus,content_deletion,0.1433610329326883,0.1512948075364996,0.007933774603811328,0.056947812091299496,0.010046908322882617,0.006925622299225668,-0.004603687691857955,0.01731663228149194,0.0029855625337543,0.0135404377749621,0.999,9,1,stable,0.00028345257366518275,0.007650322030146145,False,-0.008180966003971576,0.0035214674415861057
microsoft/Phi-4-reasoning-plus,irrelevant_context,0.1464546518797103,0.1637217698022752,0.0172671179225649,0.11975701675592816,0.017322968295421,0.008037891063310395,0.005413968680188064,0.02884570262579464,0.0116025204554168,0.0239274118663228,1.0,10,0,stable,0.012540717927853032,0.004726399994711869,False,-0.009256995738889648,0.02522664824656192
microsoft/phi-4,content_deletion,0.2132696235507308,0.22015614808430492,0.006886524533574129,0.03303511393226322,0.0078017271681792705,0.010246642467307408,-0.009992938407975827,0.025472035406182897,-0.0005574051441753,0.013810653146038,0.963,8,2,exploratory,-0.017720772969832436,0.024607297503406567,True,-0.023827995821293906,0.003309224093970936
microsoft/phi-4,irrelevant_context,0.21687676313096832,0.2522455193528809,0.035368756221912614,0.16408646964809787,0.03523847363819631,0.01118804526876373,0.021050438960744017,0.05773820278841199,0.0274796341094201,0.0414139489526141,1.0,10,0,stable,0.02983802772125941,0.005530728500653205,False,0.02356549320655276,0.04642258040080058
