target,family,dose,aggregate_fit_aggregate_eval,aggregate_fit_trackwise_eval,trackwise_fit_aggregate_eval,trackwise_fit_trackwise_eval,evaluation_correction,fitting_correction,interaction,cancellation_gap,weight_l1_change,weight_l2_change,projected_response_change,rank_correlation_aggregate_to_v22
Qwen/Qwen2.5-7B-Instruct,content_deletion,0.0,0.14547541746194517,0.14547541746194517,0.146596353007726,0.146596353007726,2.7755575615628915e-18,0.0011209355457808296,0.0,0.0,0.04827975281400974,0.023709513048770933,0.00413795424305357,0.9976190476190476
Qwen/Qwen2.5-7B-Instruct,content_deletion,0.1,0.1376225866817062,0.14866794441807551,0.13862235308627993,0.1498644244067589,0.01104535773636929,0.0009997664045737014,0.00019671358410968954,0.011242071320478978,0.04827975281400974,0.023709513048770933,0.003941779727843068,0.9833333333333334
Qwen/Qwen2.5-7B-Instruct,content_deletion,0.2,0.1389494014625163,0.15365874135554367,0.14000126678251515,0.1549773844994476,0.01470933989302738,0.0010518653199988362,0.00026677782390509416,0.014976117716932465,0.04827975281400974,0.023709513048770933,0.003872365424254485,0.9761904761904763
Qwen/Qwen2.5-7B-Instruct,content_deletion,0.3,0.13718133266808616,0.15392047685996438,0.13818623770817687,0.15519901076761705,0.01673914419187819,0.0010049050400906963,0.00027362886756198,0.017012773059440163,0.04827975281400974,0.023709513048770933,0.00377033206510984,0.9690476190476192
Qwen/Qwen2.5-7B-Instruct,content_deletion,0.4,0.12664390822903435,0.1478214359196167,0.12745529843526057,0.14905738261182983,0.021177527690582343,0.0008113902062262188,0.0004245564859868864,0.021602084176569232,0.04827975281400974,0.023709513048770933,0.003687595593518839,0.9738095238095239
Qwen/Qwen2.5-7B-Instruct,irrelevant_context,0.0,0.14855206411953234,0.14855206411953234,0.1496409682878882,0.14964096828788823,0.0,0.001088904168355853,2.7755575615628915e-18,0.0,0.038602498483601116,0.019185028814355055,0.003272200936235363,0.9952380952380953
Qwen/Qwen2.5-7B-Instruct,irrelevant_context,64.0,0.15644056350036814,0.17618380819225668,0.1572728108174328,0.17713944503231246,0.01974324469188853,0.0008322473170646577,0.00012338952299113803,0.01986663421487966,0.038602498483601116,0.019185028814355055,0.00314616606197528,0.9761904761904763
Qwen/Qwen2.5-7B-Instruct,irrelevant_context,128.0,0.15774183528887245,0.17420310719513482,0.15855952816794808,0.17513130749806877,0.016461271906262377,0.0008176928790756294,0.00011050742385832202,0.0165717793301207,0.038602498483601116,0.019185028814355055,0.003114184126283691,0.9595238095238094
Qwen/Qwen2.5-7B-Instruct,irrelevant_context,256.0,0.15948581945734233,0.1701115553788361,0.16044388314894237,0.17107439227761662,0.010625735921493781,0.0009580636916000307,4.773207180455708e-06,0.010630509128674229,0.038602498483601116,0.019185028814355055,0.0030988773281962474,0.9785714285714286
Qwen/Qwen2.5-7B-Instruct,irrelevant_context,512.0,0.16668717501754812,0.1779583276196444,0.167406634612924,0.17885095668946735,0.011271152602096272,0.0007194595953758515,0.0001731694744471074,0.011444322076543376,0.038602498483601116,0.019185028814355055,0.003129257785490317,0.9833333333333334
