target,family,fit_selected_single_peer,fit_selected_single_peer_frequency,single_error_trackwise,convex_error_trackwise,absolute_improvement,gap_ratio,bootstrap_lower,bootstrap_upper,positive_split_count,stability_label,calibrated_improvement,vector_space_support,vector_support_fraction
Qwen/Qwen2.5-7B-Instruct,content_deletion,TIGER-Lab/General-Reasoner-Qwen2.5-7B,10,0.13725768051008008,0.15113891105867588,-0.013881230548595764,0.9079090633121506,-0.0183190889308013,-0.0119708452086874,0,stable,0.0045206247698830445,10/10 splits,1.0
Qwen/Qwen2.5-7B-Instruct,irrelevant_context,TIGER-Lab/General-Reasoner-Qwen2.5-7B,10,0.15646477279322726,0.17036741395707067,-0.013902641163843422,0.918889062130629,-0.0187212631635289,-0.0114286418812657,0,stable,0.003117616913653952,10/10 splits,1.0
TIGER-Lab/General-Reasoner-Qwen2.5-7B,content_deletion,Qwen/Qwen2.5-7B-Instruct,10,0.13725768051008008,0.13679222457064005,0.00046545593944006674,1.0034929809725568,-0.0042913574219878,0.0031263272186782,5,exploratory,0.0018326493474003017,5/10 splits,0.5
TIGER-Lab/General-Reasoner-Qwen2.5-7B,irrelevant_context,Qwen/Qwen2.5-7B-Instruct,10,0.15646477279322726,0.1451055508701532,0.011359221923074047,1.0788802592995381,0.0061827829842788,0.0150316221717445,10,stable,0.009244130150148683,10/10 splits,1.0
allenai/OLMo-2-1124-13B-Instruct,content_deletion,mistralai/Mistral-Nemo-Instruct-2407,10,0.19232746290637598,0.19642706500787604,-0.00409960210150008,0.9792554588708523,-0.0089060969948347,0.0028826751113578,2,exploratory,0.010848552863947937,2/10 splits,0.2
allenai/OLMo-2-1124-13B-Instruct,irrelevant_context,mistralai/Mistral-Nemo-Instruct-2407,10,0.19278363792633316,0.19982221253288207,-0.007038574606548933,0.9646475402094303,-0.0119201259183522,0.0012439569980354,1,exploratory,0.00896150543182209,1/10 splits,0.1
google/gemma-3-12b-it,content_deletion,Qwen/Qwen2.5-7B-Instruct,5,0.25360199494922464,0.2550012200650623,-0.0013992251158377127,0.9945688914493523,-0.0059218176289463,0.0092950490469024,4,exploratory,0.021659132060448776,6/10 splits,0.6
google/gemma-3-12b-it,irrelevant_context,TIGER-Lab/General-Reasoner-Qwen2.5-7B,4,0.274621132352148,0.26508368538519844,0.009537446966949548,1.035768840287322,-0.0061072691645625,0.0109427847428047,9,exploratory,0.02678580863483705,1/10 splits,0.1
ibm-granite/granite-3.3-8b-instruct,content_deletion,mistralai/Mistral-Nemo-Instruct-2407,9,0.21660780539169236,0.20960248055453742,0.0070053248371549914,1.0337994958433812,0.0015281603813719,0.014732395137953,7,exploratory,0.014159816032217071,7/10 splits,0.7
ibm-granite/granite-3.3-8b-instruct,irrelevant_context,mistralai/Mistral-Nemo-Instruct-2407,10,0.210557376807658,0.20719746301675812,0.0033599137908998434,1.0164872457542802,3.236467767096368e-05,0.015214711882308,7,exploratory,0.013378268135747972,7/10 splits,0.7
microsoft/Phi-4-reasoning-plus,content_deletion,mistralai/Mistral-Nemo-Instruct-2407,10,0.1878215463639798,0.148220814736754,0.03960073162722584,1.2676921421394423,0.0337001283721027,0.0449138579889457,10,stable,0.03759964273536611,10/10 splits,1.0
microsoft/Phi-4-reasoning-plus,irrelevant_context,mistralai/Mistral-Nemo-Instruct-2407,10,0.19330447974459913,0.15734829502249584,0.035956184722103296,1.2290976191433145,0.0300805791260618,0.042718673982776,10,stable,0.028730419870357637,10/10 splits,1.0
microsoft/phi-4,content_deletion,microsoft/Phi-4-reasoning-plus,5,0.2426768214404101,0.22141514372761578,0.021261677712794323,1.0960321240796007,0.0145487768110251,0.0262348067535513,10,stable,0.00753718205257297,10/10 splits,1.0
microsoft/phi-4,irrelevant_context,TIGER-Lab/General-Reasoner-Qwen2.5-7B,6,0.253278350328946,0.24493365849462595,0.008344691834320078,1.0343118445906712,0.0022248762761106,0.0196044811833821,8,exploratory,0.011977236412494732,4/10 splits,0.4
mistralai/Mistral-Nemo-Instruct-2407,content_deletion,allenai/OLMo-2-1124-13B-Instruct,7,0.19326066143797777,0.16089207562470548,0.0323685858132723,1.2018202909577689,0.0256674672310096,0.0410999415759071,10,stable,0.014968681225469696,10/10 splits,1.0
mistralai/Mistral-Nemo-Instruct-2407,irrelevant_context,allenai/OLMo-2-1124-13B-Instruct,10,0.19278363792633316,0.16491282927983988,0.027870808646493234,1.1688833040293642,0.0238335992314488,0.0386811804357577,10,stable,0.015340750582722325,10/10 splits,1.0
