target,family,raw_MSE_single_error,raw_MSE_convex_error,raw_MAE_single_error,raw_MAE_convex_error,perm_MSE_single_error,perm_MSE_convex_error,perm_MAE_single_error,perm_MAE_convex_error,common_bootstrap_MSE_improvement_interval,common_bootstrap_MAE_improvement_interval,claim_status
Qwen/Qwen2.5-7B-Instruct,content_deletion,0.13334995378776907,0.14809075122335846,0.13334995378776907,0.13334995378776907,0.09882783712912398,0.0996920393830712,0.09882783712912398,0.09874433253103947,"[-0.003557432426898335, 0.0007632184897217578]","[-0.0011897191548559426, 0.0011258448522357826]",NOT_PREDECLARED
Qwen/Qwen2.5-7B-Instruct,irrelevant_context,0.1497843990635722,0.16169271269190627,0.1497843990635722,0.1497843990635722,0.10310144566458516,0.10394915809163845,0.10310144566458516,0.10330897561920696,"[-0.00404351713198163, 0.0010767891201358913]","[-0.002203524279617931, 0.0013501831549036054]",NOT_PREDECLARED
TIGER-Lab/General-Reasoner-Qwen2.5-7B,content_deletion,0.13334995378776907,0.13362383049552365,0.13334995378776907,0.12541819692391523,0.09882783712912398,0.08370744834527011,0.09882783712912398,0.08281811680033471,"[0.010850520872380679, 0.01836091874979415]","[0.012159917735493188, 0.01895169409625564]",NOT_PREDECLARED
TIGER-Lab/General-Reasoner-Qwen2.5-7B,irrelevant_context,0.1497843990635722,0.14101472820636043,0.1497843990635722,0.13565549793453902,0.10310144566458516,0.08458574124204696,0.10310144566458516,0.08418785564171576,"[0.01341815665770359, 0.021996067775955825]","[0.01429422716633678, 0.02220466340758847]",NOT_PREDECLARED
allenai/OLMo-2-1124-13B-Instruct,content_deletion,0.18925364584028956,0.1951349394902538,0.18925364584028956,0.1866873743282841,0.13533557839820692,0.12900392428466048,0.13533557839820692,0.12713644765167856,"[-0.0007658320255392494, 0.016485169829205722]","[0.0023007889803213326, 0.01662762032169805]",NOT_PREDECLARED
allenai/OLMo-2-1124-13B-Instruct,irrelevant_context,0.19413725804520593,0.19896986094691677,0.19413725804520593,0.19117925177894363,0.14118501845441683,0.13292402594223507,0.14118501845441683,0.1300508394179005,"[0.000533951796077621, 0.022039908326296907]","[0.0034984130530260568, 0.02183123464587049]",NOT_PREDECLARED
google/gemma-3-12b-it,content_deletion,0.2719065658536606,0.25094048472162866,0.25230180870177155,0.24788489670570574,0.17615336546103816,0.15834675309266028,0.18142533148284093,0.15889309494714396,"[0.010997600644599623, 0.028714741984885096]","[0.012544634884372427, 0.03507170231677343]",NOT_PREDECLARED
google/gemma-3-12b-it,irrelevant_context,0.28296678349113574,0.26017933783354774,0.264676110200893,0.2567182708917215,0.19586782610463613,0.1636257485392473,0.1914982358657247,0.16302286769727453,"[0.017842416109813665, 0.03954828138613382]","[0.014248364183052824, 0.03869243222518721]",NOT_PREDECLARED
ibm-granite/granite-3.3-8b-instruct,content_deletion,0.215782085479273,0.20726931323466805,0.21277890791100634,0.2063917391472581,0.1535300583595205,0.13856685473042382,0.15543408130069722,0.13873433064764057,"[0.007813354839192908, 0.026600283662423882]","[0.008462454391281156, 0.02373586979210498]",NOT_PREDECLARED
ibm-granite/granite-3.3-8b-instruct,irrelevant_context,0.20918692693013421,0.2043709109735335,0.2113340912984789,0.2045029453582315,0.1578900572502298,0.13889314829593707,0.15887930470708903,0.13910143217306795,"[0.010732244429785414, 0.027902732214276256]","[0.00953232039197261, 0.025472388155404622]",NOT_PREDECLARED
microsoft/Phi-4-reasoning-plus,content_deletion,0.189082167866332,0.14783226439055602,0.189082167866332,0.14813540265174963,0.1386246952815755,0.09491863412848002,0.13438887618591394,0.09454560184192004,"[0.032182017759258476, 0.04928074458026707]","[0.03060340506443282, 0.04814634259770714]",SUPPORTED_WITH_INTERFACE_QUALIFIER
microsoft/Phi-4-reasoning-plus,irrelevant_context,0.1950328334288638,0.1555560508031918,0.1950328334288638,0.15638793020083472,0.14515612540356956,0.10875451633924778,0.1424648770056997,0.10856269199148978,"[0.027082635612186916, 0.04460817073207157]","[0.025977454868672895, 0.04377260126129067]",SUPPORTED_WITH_INTERFACE_QUALIFIER
microsoft/phi-4,content_deletion,0.23335193317866065,0.21693170969618242,0.2372175540411138,0.21480360636887283,0.18015296241619505,0.16670540992865485,0.18232003818547832,0.1660120584118963,"[0.006355192995302734, 0.020862698297198137]","[0.006076788924619196, 0.026360380885291326]",NOT_PREDECLARED
microsoft/phi-4,irrelevant_context,0.2562622389903519,0.2344355867077108,0.25458838158404445,0.23033147927964728,0.21183330618651164,0.1852220453855408,0.20350556306653234,0.18123964083940924,"[0.014269032197291406, 0.030698261699187677]","[0.01056610723293877, 0.02774393972133974]",NOT_PREDECLARED
mistralai/Mistral-Nemo-Instruct-2407,content_deletion,0.189082167866332,0.15837907634503753,0.19107007982533558,0.1573722324272266,0.13597927751375666,0.10959618686988007,0.13661777269778602,0.1087075795821775,"[0.016700601993130372, 0.03532140458781295]","[0.017732544872840306, 0.03420695442062029]",LOCKED
mistralai/Mistral-Nemo-Instruct-2407,irrelevant_context,0.19608058750470603,0.16410760215050174,0.19413725804520593,0.1643312886985475,0.14364904912539017,0.11661457732446942,0.14222827125576118,0.11549734633480016,"[0.017900147729946202, 0.03805912583561759]","[0.016133767889097515, 0.03571211890657515]",LOCKED
