target,family,v22_full_design_raw_delta,v23_endpoint_raw_delta,v23_permutation_averaged_delta,bootstrap_lower,bootstrap_upper,positive_split_count,claim_status
Qwen/Qwen2.5-7B-Instruct,content_deletion,0.002461029604103812,0.0021648985705259,0.006389344354818263,-0.0011309366492766042,0.01420280465249322,10,NOT_PREDECLARED
Qwen/Qwen2.5-7B-Instruct,irrelevant_context,0.02920998840157914,0.029916896700421892,0.014354786558816817,0.00728456965919352,0.020881579627306444,10,LOCKED
TIGER-Lab/General-Reasoner-Qwen2.5-7B,content_deletion,0.0034619337796981007,0.003372204610585161,0.0030845475297894,-0.0038625900427328367,0.009745640065202878,9,NOT_PREDECLARED
TIGER-Lab/General-Reasoner-Qwen2.5-7B,irrelevant_context,0.01027450310468197,0.010483020249034048,0.002992854614092147,-0.003165865778730569,0.009064807783368765,8,NOT_PREDECLARED
allenai/OLMo-2-1124-13B-Instruct,content_deletion,-0.02436599984734456,-0.02431481926144215,-0.015653157459459013,-0.025707467287218226,-0.006165414708498919,0,SUPPORTED_WITH_INTERFACE_QUALIFIER
allenai/OLMo-2-1124-13B-Instruct,irrelevant_context,-0.015012681411425213,-0.015474077103110625,-0.010261953305092482,-0.017053788432747397,-0.0031253922602334436,0,LOCKED
google/gemma-3-12b-it,content_deletion,0.0005968150637619713,-0.00012450811936983998,0.0003511888287795306,-0.012495633469187813,0.01193626625191712,4,NOT_PREDECLARED
google/gemma-3-12b-it,irrelevant_context,0.015939042209128226,0.014121797512076189,0.010759505738642778,0.001763960574162952,0.01947220168178544,10,NOT_PREDECLARED
ibm-granite/granite-3.3-8b-instruct,content_deletion,-0.015041336944139904,-0.015270222903442796,-0.005563179286459998,-0.015465558853672151,0.003721544622238455,0,RAW_INTERFACE_ONLY
ibm-granite/granite-3.3-8b-instruct,irrelevant_context,-0.016982349361105434,-0.0170399199183694,-0.0049967042548125385,-0.01316043762000134,0.0024444636868689203,0,RAW_INTERFACE_ONLY
microsoft/Phi-4-reasoning-plus,content_deletion,0.007933774603811328,0.00956621770058393,0.003816173462907785,-0.004261760143360184,0.010940763694055392,9,NOT_PREDECLARED
microsoft/Phi-4-reasoning-plus,irrelevant_context,0.0172671179225649,0.023698478047158727,0.025662839336584455,0.016126305382182064,0.03532009795132295,10,NOT_PREDECLARED
microsoft/phi-4,content_deletion,0.006886524533574129,0.008848748458586141,0.0033912120729923446,-0.010660803090711405,0.015330837094718624,7,NOT_PREDECLARED
microsoft/phi-4,irrelevant_context,0.035368756221912614,0.04247771159477508,0.03250152546090436,0.017149039742624144,0.04435311448492229,10,SUPPORTED_WITH_INTERFACE_QUALIFIER
mistralai/Mistral-Nemo-Instruct-2407,content_deletion,-0.026659990894421497,-0.026465942912644713,-0.021831374833137265,-0.031898422347532956,-0.012710860758803708,0,LOCKED
mistralai/Mistral-Nemo-Instruct-2407,irrelevant_context,-0.01590635153757298,-0.015389818860491991,-0.008938121602499089,-0.01653955478320532,-0.0017539882384569874,0,LOCKED
