City,PeerName,Weight,Rank,HorizonSteps,CacheHash,ModelType
augsburg,bremen,0.16256197545521675,1,12,abd00d5cef12,histgb
augsburg,hamburg,0.11082159128537745,2,12,abd00d5cef12,histgb
augsburg,stuttgart,0.09715121801308521,3,12,abd00d5cef12,histgb
augsburg,darmstadt,0.09421555037722631,4,12,abd00d5cef12,histgb
augsburg,kassel,0.08424979552244155,5,12,abd00d5cef12,histgb
augsburg,speyer,0.06983682585261514,6,12,abd00d5cef12,histgb
augsburg,bordeaux,0.06906062424141278,7,12,abd00d5cef12,histgb
augsburg,rotterdam,0.06419427904928537,8,12,abd00d5cef12,histgb
augsburg,london,0.06378889411076744,9,12,abd00d5cef12,histgb
augsburg,wolfsburg,0.05527664726863341,10,12,abd00d5cef12,histgb
augsburg,torino,0.04556372904147085,11,12,abd00d5cef12,histgb
augsburg,basel,0.03719092633376883,12,12,abd00d5cef12,histgb
augsburg,toronto,0.03550804998200018,13,12,abd00d5cef12,histgb
augsburg,santander,0.010422674081444268,14,12,abd00d5cef12,histgb
augsburg,luzern,0.00014654397322055342,15,12,abd00d5cef12,histgb
augsburg,losangeles,6.489397247312692e-06,16,12,abd00d5cef12,histgb
augsburg,bolton,1.945276783827788e-06,17,12,abd00d5cef12,histgb
augsburg,toulouse,1.3996016534062616e-06,18,12,abd00d5cef12,histgb
augsburg,manchester,1.3801397104448829e-06,19,12,abd00d5cef12,histgb
augsburg,taipeh,7.27807525789983e-07,20,12,abd00d5cef12,histgb
augsburg,madrid,6.059712131357766e-07,21,12,abd00d5cef12,histgb
augsburg,cagliari,5.682516521227563e-07,22,12,abd00d5cef12,histgb
augsburg,strasbourg,5.423997884772359e-07,23,12,abd00d5cef12,histgb
augsburg,marseille,4.740974422246782e-07,24,12,abd00d5cef12,histgb
augsburg,graz,3.0711029626634074e-07,25,12,abd00d5cef12,histgb
augsburg,constance,2.3276939040057074e-07,26,12,abd00d5cef12,histgb
augsburg,GLOBAL,1.5190110058436035e-07,27,12,abd00d5cef12,histgb
augsburg,essen,1.1438322229231845e-07,28,12,abd00d5cef12,histgb
augsburg,bern,2.2325016663326967e-08,29,12,abd00d5cef12,histgb
augsburg,zurich,-8.121257137269779e-08,30,12,abd00d5cef12,histgb
augsburg,paris,-4.169612811082926e-06,31,12,abd00d5cef12,histgb
basel,stuttgart,0.304208369213957,1,12,abd00d5cef12,histgb
basel,constance,0.2698731717386531,2,12,abd00d5cef12,histgb
basel,zurich,0.2473674756581037,3,12,abd00d5cef12,histgb
basel,bordeaux,0.17855402444713395,4,12,abd00d5cef12,histgb
basel,graz,5.7210929145724494e-05,5,12,abd00d5cef12,histgb
basel,bolton,2.9452906622681533e-05,6,12,abd00d5cef12,histgb
basel,essen,2.817091328947884e-05,7,12,abd00d5cef12,histgb
basel,toronto,2.4700186136601535e-05,8,12,abd00d5cef12,histgb
basel,augsburg,2.3097091960857955e-05,9,12,abd00d5cef12,histgb
basel,hamburg,2.1392428611743548e-05,10,12,abd00d5cef12,histgb
basel,london,1.835426349849662e-05,11,12,abd00d5cef12,histgb
basel,bern,1.4808115985329545e-05,12,12,abd00d5cef12,histgb
