TargetModel,Group,Dose,MeanPIER
ResNet18,Standard CNN,0.0,0.07362872000212808
ResNet18,Standard CNN,0.02,0.07161194730136802
ResNet18,Standard CNN,0.04,0.07085707685521553
ResNet18,Standard CNN,0.06,0.07126871743596785
ResNet18,Standard CNN,0.08,0.07198397386031899
ResNet18,Standard CNN,0.1,0.07321014085476063
ResNet50,Standard CNN,0.0,0.1099454798903491
ResNet50,Standard CNN,0.02,0.052934247283371635
ResNet50,Standard CNN,0.04,0.05461007814589497
ResNet50,Standard CNN,0.06,0.05459643777122166
ResNet50,Standard CNN,0.08,0.05488413491031802
ResNet50,Standard CNN,0.1,0.05617219978141806
EfficientNetB0,Standard CNN,0.0,0.05331444637452074
EfficientNetB0,Standard CNN,0.02,0.05276754820227362
EfficientNetB0,Standard CNN,0.04,0.05297075085167708
EfficientNetB0,Standard CNN,0.06,0.05317845896123244
EfficientNetB0,Standard CNN,0.08,0.054924383681296395
EfficientNetB0,Standard CNN,0.1,0.056801203449901104
ConvNeXtTiny,Standard CNN,0.0,0.03453674883179942
ConvNeXtTiny,Standard CNN,0.02,0.0413531085033344
ConvNeXtTiny,Standard CNN,0.04,0.0403410642199192
ConvNeXtTiny,Standard CNN,0.06,0.04069558962587488
ConvNeXtTiny,Standard CNN,0.08,0.0408151498686848
ConvNeXtTiny,Standard CNN,0.1,0.04107558023113222
ViT_B16,Transformer,0.0,0.0318461933649906
ViT_B16,Transformer,0.02,0.03260353884020018
ViT_B16,Transformer,0.04,0.0323599106329245
ViT_B16,Transformer,0.06,0.03268541545391389
ViT_B16,Transformer,0.08,0.032736690250615215
ViT_B16,Transformer,0.1,0.03310621102773414
RobustResNet50,Robust CNN,0.0,0.08299757231012177
RobustResNet50,Robust CNN,0.02,0.08182780002006362
RobustResNet50,Robust CNN,0.04,0.08353486703306223
RobustResNet50,Robust CNN,0.06,0.08812582895598545
RobustResNet50,Robust CNN,0.08,0.09392567908693926
RobustResNet50,Robust CNN,0.1,0.10033065051536069
