ContextType,ContextLabel,TargetModel,Group,Dose,MeanPIER,StdPIER,NumEvalPoints,NumFitPoints,ContextRawSize
dataset,texture_natural,ResNet50,Standard CNN,0.0,0.0002744794406192705,0.00019715941142693384,400,400,800
dataset,texture_natural,EfficientNetB0,Standard CNN,0.0,7.571191602301546e-05,0.00019223985222361942,400,400,800
dataset,texture_natural,ConvNeXtTiny,Standard CNN,0.0,8.347517551452247e-05,8.584361686107383e-05,400,400,800
dataset,texture_natural,ViT_B16,Standard CNN,0.0,5.718394394895421e-05,9.228910981649681e-05,400,400,800
dataset,texture_natural,ShapeResNet50_SIN,Shape-biased CNN,0.0,8.843578729673734e-05,0.0002404898643501058,400,400,800
dataset,texture_natural,ShapeResNet50_SININ,Shape-biased CNN,0.0,8.905295805455309e-05,0.00019646108387130567,400,400,800
dataset,texture_natural,ShapeResNet50_ShapeResNet,Shape-biased CNN,0.0,7.292941092294811e-05,0.0001900284534826655,400,400,800
dataset,shape_bias,ResNet50,Standard CNN,0.0,0.00040658737416486313,0.000557589615914512,400,400,800
dataset,shape_bias,EfficientNetB0,Standard CNN,0.0,0.0003428989407546247,0.0005565295502185172,400,400,800
dataset,shape_bias,ConvNeXtTiny,Standard CNN,0.0,0.0007877071187039117,0.006069040021777396,400,400,800
dataset,shape_bias,ViT_B16,Standard CNN,0.0,0.00029724629591007724,0.0011083643456678807,400,400,800
dataset,shape_bias,ShapeResNet50_SIN,Shape-biased CNN,0.0,0.0004315011088402498,0.0006937241699579865,400,400,800
dataset,shape_bias,ShapeResNet50_SININ,Shape-biased CNN,0.0,0.00031644451426979177,0.0008649102977956293,400,400,800
dataset,shape_bias,ShapeResNet50_ShapeResNet,Shape-biased CNN,0.0,0.0007399549284500935,0.004908717997208954,400,400,800
