ContextType,ContextLabel,TargetModel,Group,Dose,MeanPIER,StdPIER,NumEvalPoints,NumFitPoints,ContextRawSize,ShapeVariant
dataset,texture_natural,ResNet50,Standard CNN,0.0,0.00027447777434612083,0.00019715964722303032,400,400,800,A
dataset,texture_natural,EfficientNetB0,Standard CNN,0.0,0.0002277380277805578,0.0001618521923872608,400,400,800,A
dataset,texture_natural,ConvNeXtTiny,Standard CNN,0.0,8.319239634323449e-05,8.550767702558205e-05,400,400,800,A
dataset,texture_natural,ViT_B16,Standard CNN,0.0,6.0758625620006704e-05,0.00011123324628025973,400,400,800,A
dataset,texture_natural,ShapeResNet50_SIN,Shape-biased CNN,0.0,0.00011344168553083,0.00023714426281955746,400,400,800,A
dataset,shape_bias,ResNet50,Standard CNN,0.0,0.0004052204335607486,0.0005776394996241249,400,400,800,A
dataset,shape_bias,EfficientNetB0,Standard CNN,0.0,0.00037084142511219773,0.0006346505136364527,400,400,800,A
dataset,shape_bias,ConvNeXtTiny,Standard CNN,0.0,0.0008318333639373606,0.006524870593575493,400,400,800,A
dataset,shape_bias,ViT_B16,Standard CNN,0.0,0.0004032171771532787,0.0016376211504994156,400,400,800,A
dataset,shape_bias,ShapeResNet50_SIN,Shape-biased CNN,0.0,0.0004924335642111659,0.0008101955050381208,400,400,800,A
dataset,texture_natural,ResNet50,Standard CNN,0.0,0.0002744787611434957,0.0001971594565128564,400,400,800,B
dataset,texture_natural,EfficientNetB0,Standard CNN,0.0,7.94506496445432e-05,0.00017448096954267818,400,400,800,B
dataset,texture_natural,ConvNeXtTiny,Standard CNN,0.0,8.305296545489206e-05,8.502779549773101e-05,400,400,800,B
dataset,texture_natural,ViT_B16,Standard CNN,0.0,0.00010146299553022847,0.00010433775246105454,400,400,800,B
dataset,texture_natural,ShapeResNet50_SININ,Shape-biased CNN,0.0,8.905345928488012e-05,0.00019646045357236473,400,400,800,B
dataset,shape_bias,ResNet50,Standard CNN,0.0,0.00040504861624209064,0.0005726175380475842,400,400,800,B
dataset,shape_bias,EfficientNetB0,Standard CNN,0.0,0.00035278239131263973,0.0005702459689978615,400,400,800,B
dataset,shape_bias,ConvNeXtTiny,Standard CNN,0.0,0.0008318382440966105,0.006524876010157228,400,400,800,B
dataset,shape_bias,ViT_B16,Standard CNN,0.0,0.00035253065417246944,0.0014282240634949871,400,400,800,B
dataset,shape_bias,ShapeResNet50_SININ,Shape-biased CNN,0.0,0.0003386133414913908,0.0009690315847927579,400,400,800,B
dataset,texture_natural,ResNet50,Standard CNN,0.0,0.0002744778295820284,0.00019715964799278007,400,400,800,C
dataset,texture_natural,EfficientNetB0,Standard CNN,0.0,0.00022772423106427416,0.00016185160737413335,400,400,800,C
dataset,texture_natural,ConvNeXtTiny,Standard CNN,0.0,8.306067355422724e-05,8.534023384312183e-05,400,400,800,C
dataset,texture_natural,ViT_B16,Standard CNN,0.0,6.524054468779849e-05,8.052491223199753e-05,400,400,800,C
dataset,texture_natural,ShapeResNet50_ShapeResNet,Shape-biased CNN,0.0,0.00010966860276423029,0.00016173116293287528,400,400,800,C
dataset,shape_bias,ResNet50,Standard CNN,0.0,0.0004032434094095851,0.0006128497269330754,400,400,800,C
dataset,shape_bias,EfficientNetB0,Standard CNN,0.0,0.00038580496306660493,0.0006610566708359356,400,400,800,C
dataset,shape_bias,ConvNeXtTiny,Standard CNN,0.0,0.0007877066480568931,0.006069039763984316,400,400,800,C
dataset,shape_bias,ViT_B16,Standard CNN,0.0,0.0003363083854564883,0.0010995104015355743,400,400,800,C
dataset,shape_bias,ShapeResNet50_ShapeResNet,Shape-biased CNN,0.0,0.000739955265401751,0.004908721102476942,400,400,800,C
