relative_path	staged_path	size_bytes	sha256	role
PIER_LLM_ECOSYSTEM_GOLDMINE_V2_2_TRACKWISE_REANALYSIS/outputs/analysis/trackwise_calibrated_results.parquet	v22/outputs/analysis/trackwise_calibrated_results.parquet	70502	43db5089ff92ad59f19416775d8cee2e978409ac3a66cd875bfabe4aa2e3d825	cached_analysis_or_configuration; not a new raw measurement
PIER_LLM_ECOSYSTEM_GOLDMINE_V2_2_TRACKWISE_REANALYSIS/outputs/analysis/trackwise_convex_vs_single.parquet	v22/outputs/analysis/trackwise_convex_vs_single.parquet	17978	81c38db3eefdc62bd397cf4b0745d54805ebabd33620cf1000cda661e2f7248e	cached_analysis_or_configuration; not a new raw measurement
PIER_LLM_ECOSYSTEM_GOLDMINE_V2_2_TRACKWISE_REANALYSIS/outputs/analysis/solver_diagnostics.parquet	v22/outputs/analysis/solver_diagnostics.parquet	21503	5b4363782db2775a2e04165e7808ced32d1128e68db61ce47fc7514b44c721f7	cached_analysis_or_configuration; not a new raw measurement
PIER_LLM_ECOSYSTEM_GOLDMINE_V2_2_TRACKWISE_REANALYSIS/outputs/analysis/trackwise_primary_dose_results.parquet	v22/outputs/analysis/trackwise_primary_dose_results.parquet	124847	f6c6db6f9f39149ba9490f8c267e6b47e0e074cb86f1e72c3867ef2ddc41925f	cached_analysis_or_configuration; not a new raw measurement
PIER_LLM_ECOSYSTEM_GOLDMINE_V2_2_TRACKWISE_REANALYSIS/outputs/analysis/trackwise_endpoint_effects.parquet	v22/outputs/analysis/trackwise_endpoint_effects.parquet	25173	75df54d7edeef084c4d343275f47524c9f1a427863afa61974a236a3c66b459e	cached_analysis_or_configuration; not a new raw measurement
PIER_LLM_ECOSYSTEM_GOLDMINE_V2_2_TRACKWISE_REANALYSIS/outputs/analysis/trackwise_overall_results.parquet	v22/outputs/analysis/trackwise_overall_results.parquet	25777	57768a221a33af821a25ceb96bba9a0f046d7c1d2985b2f1f5b1f26b883558b0	cached_analysis_or_configuration; not a new raw measurement
PIER_LLM_ECOSYSTEM_GOLDMINE_V2_2_TRACKWISE_REANALYSIS/outputs/analysis/trackwise_vector_results.parquet	v22/outputs/analysis/trackwise_vector_results.parquet	146712	1604bc3b71ba193fea699dec26ec24965230a73435ba69588e9f1bf82e1a05a9	cached_analysis_or_configuration; not a new raw measurement
PIER_LLM_ECOSYSTEM_GOLDMINE_V2_2_TRACKWISE_REANALYSIS/outputs/analysis/cancellation_gap_results.parquet	v22/outputs/analysis/cancellation_gap_results.parquet	88489	e17fbb3996fca34caf0504436819ff5a8833e256f2f91ba8a562bb304cf18da4	cached_analysis_or_configuration; not a new raw measurement
PIER_LLM_ECOSYSTEM_GOLDMINE_V2_2_TRACKWISE_REANALYSIS/outputs/analysis/trackwise_interface_sensitivity.parquet	v22/outputs/analysis/trackwise_interface_sensitivity.parquet	61415	b5d869b1a7c377883b17212cb84dc03a5be2fd6af2dd733f61ef29fea67809df	cached_analysis_or_configuration; not a new raw measurement
PIER_LLM_ECOSYSTEM_GOLDMINE_V2_2_TRACKWISE_REANALYSIS/outputs/analysis/trackwise_sibling_removal.parquet	v22/outputs/analysis/trackwise_sibling_removal.parquet	25527	44a1cbf66e91e26f3fcd97d94d12e24f60e0b49f4b99342a4a148698cb6126ce	cached_analysis_or_configuration; not a new raw measurement
PIER_LLM_ECOSYSTEM_GOLDMINE_V2_2_TRACKWISE_REANALYSIS/outputs/analysis/trackwise_non_sibling_removal_null.parquet	v22/outputs/analysis/trackwise_non_sibling_removal_null.parquet	25190	f1c19419f51f466d45ee767c5de0d4cf61f60695c953f52b6bcd08ace00d61ed	cached_analysis_or_configuration; not a new raw measurement
PIER_LLM_ECOSYSTEM_GOLDMINE_V2_2_TRACKWISE_REANALYSIS/outputs/analysis/trackwise_primary_weights.parquet	v22/outputs/analysis/trackwise_primary_weights.parquet	68023	3ac96c209e63339853c9dfe6c0615fca04d5a8eaea7df6b901399e72c1504fc1	cached_analysis_or_configuration; not a new raw measurement
PIER_LLM_ECOSYSTEM_GOLDMINE_V2_2_TRACKWISE_REANALYSIS/outputs/analysis/estimand_decomposition.parquet	v22/outputs/analysis/estimand_decomposition.parquet	141683	532ff2c1ee9293efa066647c61bc08644bfe5caa1ca5f75337a5d8a8d13cb0ed	cached_analysis_or_configuration; not a new raw measurement
PIER_LLM_ECOSYSTEM_GOLDMINE_V2_2_TRACKWISE_REANALYSIS/outputs/analysis/trackwise_single_peer_influence.parquet	v22/outputs/analysis/trackwise_single_peer_influence.parquet	31498	611e3c6113353e5fcff445484afb891da2f38a36bc0cfcd31e8d8784b218bc63	cached_analysis_or_configuration; not a new raw measurement
PIER_LLM_ECOSYSTEM_GOLDMINE_V2_2_TRACKWISE_REANALYSIS/outputs/bootstrap_summaries/convexity_bootstrap_summary.csv	v22/outputs/bootstrap_summaries/convexity_bootstrap_summary.csv	4514	b099d66f3861d11bad75a687e30e254be516dbc42b3b5ea09ffa8c2d5bfb2c74	cached_analysis_or_configuration; not a new raw measurement
PIER_LLM_ECOSYSTEM_GOLDMINE_V2_2_TRACKWISE_REANALYSIS/outputs/bootstrap_summaries/endpoint_bootstrap_summary.csv	v22/outputs/bootstrap_summaries/endpoint_bootstrap_summary.csv	4412	31df61ea3461c375006c9d77d297597b3eb909f05882e45e4501265567e2479a	cached_analysis_or_configuration; not a new raw measurement
PIER_LLM_ECOSYSTEM_GOLDMINE_V2_2_TRACKWISE_REANALYSIS/outputs/bootstrap_summaries/selected_calibrated_bootstrap_summary.csv	v22/outputs/bootstrap_summaries/selected_calibrated_bootstrap_summary.csv	2488	6a9dba5cd41875871df952bc46ba4a7f01f9e2e57073bdd2e51dd1675e2f2eb2	cached_analysis_or_configuration; not a new raw measurement
PIER_LLM_ECOSYSTEM_GOLDMINE_V2_2_TRACKWISE_REANALYSIS/outputs/bootstrap_summaries/sibling_removal_bootstrap_summary.csv	v22/outputs/bootstrap_summaries/sibling_removal_bootstrap_summary.csv	2268	871285c6016cfb76597b05b70185e488437ee3a68c58c5c2fa5f9857fd590cda	cached_analysis_or_configuration; not a new raw measurement
PIER_LLM_ECOSYSTEM_GOLDMINE_V2_2_TRACKWISE_REANALYSIS/configs/reanalysis_v22.json	v22/configs/reanalysis_v22.json	2377	57094352b08c741aa74971f64e3d88ee9833bfd00fa1b57ece03857ddf5b51e3	cached_analysis_or_configuration; not a new raw measurement
PIER_LLM_ECOSYSTEM_GOLDMINE_V2_1_REANALYSIS/outputs/tables/table_v21_endpoint_effects.csv	v21/outputs/tables/table_v21_endpoint_effects.csv	6494	c9f6d9e85f53a4ab5f5c9173991a2f91e0d10a77e973f66952a6dbd8516332bb	cached_analysis_or_configuration; not a new raw measurement
PIER_LLM_ECOSYSTEM_GOLDMINE_V2_1_REANALYSIS/outputs/tables/table_v21_convexity_gap.csv	v21/outputs/tables/table_v21_convexity_gap.csv	7256	79726d40195590efe972da922d952a5374a327c2edd375f0b114a29aede11004	cached_analysis_or_configuration; not a new raw measurement
PIER_LLM_ECOSYSTEM_GOLDMINE_V2_1_REANALYSIS/outputs/tables/table_v21_sibling_removal.csv	v21/outputs/tables/table_v21_sibling_removal.csv	2992	172221aefc386fc14f7c071320892e5b589fbdb77e8950485491c60b2f968fb2	cached_analysis_or_configuration; not a new raw measurement
PIER_LLM_ECOSYSTEM_GOLDMINE_V2_3_INTERFACE_VALIDATION/outputs/analysis/raw_endpoint_design_results.parquet	v23/outputs/analysis/raw_endpoint_design_results.parquet	26767	0eb0f3e4fb2738a74e625d9bf10b1df6d42c97f560e147ff224be611285c409c	cached_analysis_or_configuration; not a new raw measurement
PIER_LLM_ECOSYSTEM_GOLDMINE_V2_3_INTERFACE_VALIDATION/outputs/analysis/permutation_endpoint_design_results.parquet	v23/outputs/analysis/permutation_endpoint_design_results.parquet	26792	6e07c87a5ed8cca71cd3afb7b8b249c603287c19bd590551c20ad41ee3eb7ef4	cached_analysis_or_configuration; not a new raw measurement
PIER_LLM_ECOSYSTEM_GOLDMINE_V2_3_INTERFACE_VALIDATION/outputs/analysis/common_resample_endpoint_bootstrap.parquet	v23/outputs/analysis/common_resample_endpoint_bootstrap.parquet	1281813	d71780547102b95bbd223d87359b91fa97e7cb33bed1ae8a463ad92a6a4ca8e0	cached_analysis_or_configuration; not a new raw measurement
PIER_LLM_ECOSYSTEM_GOLDMINE_V2_3_INTERFACE_VALIDATION/outputs/analysis/matched_objective_convexity.parquet	v23/outputs/analysis/matched_objective_convexity.parquet	62319	edc58121f8ba26d537b5f3bd2f2a0cceecf985d630f36e015d18086837f9024d	cached_analysis_or_configuration; not a new raw measurement
PIER_LLM_ECOSYSTEM_GOLDMINE_V2_3_INTERFACE_VALIDATION/outputs/analysis/common_resample_convexity_bootstrap.parquet	v23/outputs/analysis/common_resample_convexity_bootstrap.parquet	644629	f4db2f296aca983cf03d10b42d907887a6b8926abdee63b104c200b772f70714	cached_analysis_or_configuration; not a new raw measurement
PIER_LLM_ECOSYSTEM_GOLDMINE_V2_3_INTERFACE_VALIDATION/outputs/analysis/permutation_sibling_removal.parquet	v23/outputs/analysis/permutation_sibling_removal.parquet	15966	4858c72bf6dc079abb35fe14def964df24fc27087cb5c72cc7ae1fe1abc72ab6	cached_analysis_or_configuration; not a new raw measurement
PIER_LLM_ECOSYSTEM_GOLDMINE_V2_3_INTERFACE_VALIDATION/outputs/analysis/common_resample_sibling_bootstrap.parquet	v23/outputs/analysis/common_resample_sibling_bootstrap.parquet	170129	8f48fcde935c52683fe8e92de3d56d9271438452b2c38066b11b6defcb1750f3	cached_analysis_or_configuration; not a new raw measurement
PIER_LLM_ECOSYSTEM_GOLDMINE_V2_3_INTERFACE_VALIDATION/outputs/analysis/long_generation_validation.parquet	v23/outputs/analysis/long_generation_validation.parquet	11713	a22942a6da854dd4678a0051afd79f9cda3fd606821f123c07d72d7efb14752f	cached_analysis_or_configuration; not a new raw measurement
PIER_LLM_ECOSYSTEM_GOLDMINE_V2_3_INTERFACE_VALIDATION/outputs/analysis/permutation_sensitivity.parquet	v23/outputs/analysis/permutation_sensitivity.parquet	1929131	cbe3d6486e81a4b53f4107e1edfddf33d9224f88fef6f34a9d0085aa13acd274	cached_analysis_or_configuration; not a new raw measurement
PIER_LLM_ECOSYSTEM_GOLDMINE_V2_3_INTERFACE_VALIDATION/configs/experiment_v23.json	v23/configs/experiment_v23.json	1724	4c1b68f3ce5cb8ecc7ab17973cc3722d85a9b46b87b0e59d9d8e8f51bdb6197e	cached_analysis_or_configuration; not a new raw measurement
