component	upstream_path_or_repo	git_commit	copied_to	size_bytes	sha256	maintained_size_bytes	maintained_sha256	notes
paper	paper-source.zip!/main.tex		paper/main.tex	5057	0337af0f9f9e0281aba7f315e05f861467e468e3f986c87f1f43815e70d79778	5057	0337af0f9f9e0281aba7f315e05f861467e468e3f986c87f1f43815e70d79778	byte-identical copy
paper	paper-source.zip!/sections/01_introduction.tex		paper/sections/01_introduction.tex	5407	ebc7b5eeac6144c2488837e710501c07fafd1bed5f4234690c55cb230ab61b35	5407	ebc7b5eeac6144c2488837e710501c07fafd1bed5f4234690c55cb230ab61b35	byte-identical copy
paper	paper-source.zip!/sections/02_framework.tex		paper/sections/02_framework.tex	4241	610ba9cdbd4682b8c806b2e76067a46cf4abf424fc53d95fe6ee9c55543d2d17	4241	610ba9cdbd4682b8c806b2e76067a46cf4abf424fc53d95fe6ee9c55543d2d17	byte-identical copy
paper	paper-source.zip!/sections/03_theory.tex		paper/sections/03_theory.tex	2793	3cce636c19b9e65a80154598be7152a8401d76f94fbc0a32a4182ab99da79381	2197	35df485a6cd59a16ec1d542d4b067c2a75e5a3469172c752225dd5c3bde179c2	adapted: inline table extracted to a generated table input; prose and table content preserved
paper	paper-source.zip!/sections/04_llm_coverage.tex		paper/sections/04_llm_coverage.tex	9501	848f3dc9ebf7447af10d5f4096f142c66d47cbeb3ba14ea3e77ff4351d3cbbd9	9501	848f3dc9ebf7447af10d5f4096f142c66d47cbeb3ba14ea3e77ff4351d3cbbd9	byte-identical copy
paper	paper-source.zip!/sections/05_stress_interface.tex		paper/sections/05_stress_interface.tex	3577	d8e9d90c1de980671dc6542530fea5b36ea36d39b52811be21cab231bc4948b6	3577	d8e9d90c1de980671dc6542530fea5b36ea36d39b52811be21cab231bc4948b6	byte-identical copy
paper	paper-source.zip!/sections/06_vision.tex		paper/sections/06_vision.tex	4816	3ab546662efc021fa77c93dc42bd8da46c4dbb856e5aa46070f11679ae48c4d2	4816	3ab546662efc021fa77c93dc42bd8da46c4dbb856e5aa46070f11679ae48c4d2	byte-identical copy
paper	paper-source.zip!/sections/07_traffic.tex		paper/sections/07_traffic.tex	1309	a7247f9a5dae10eec07b715d9de0d7f4b6ef3c62fb834cc478bb5891f7c1c77b	1309	a7247f9a5dae10eec07b715d9de0d7f4b6ef3c62fb834cc478bb5891f7c1c77b	byte-identical copy
paper	paper-source.zip!/sections/08_related_work.tex		paper/sections/08_related_work.tex	1503	aff5c8af34688e96fd7f217c72392ee2c94b7a72d75414738516bf44f94939d6	1503	aff5c8af34688e96fd7f217c72392ee2c94b7a72d75414738516bf44f94939d6	byte-identical copy
paper	paper-source.zip!/sections/09_discussion.tex		paper/sections/09_discussion.tex	880	5c4a76ceb59b58cc5a8226933b382bbac27a0f08615f0c46b0d4377cc6fbe53c	880	5c4a76ceb59b58cc5a8226933b382bbac27a0f08615f0c46b0d4377cc6fbe53c	byte-identical copy
paper	paper-source.zip!/appendix/A_theory.tex		paper/appendix/A_theory.tex	5436	0afe0dc8a217b860a72bc71e97750cb4d3b1f0521065ef5e3967641e5b045b5d	5436	0afe0dc8a217b860a72bc71e97750cb4d3b1f0521065ef5e3967641e5b045b5d	byte-identical copy
paper	paper-source.zip!/appendix/B_llm_protocol.tex		paper/appendix/B_llm_protocol.tex	6942	110f008193580acbe1f1a53ae06d505fbd2c9adad0509b4fb3b909dacb53f834	6301	3c173d4c771baaec216e681e9b577962be24a8e8a32d0a6e61be50b254a2999e	adapted: inline table extracted to a generated table input; prose and table content preserved
paper	paper-source.zip!/appendix/C_robustness.tex		paper/appendix/C_robustness.tex	8459	7d52171faf6c66ac062b708e78ccb0824b86978e2c86a9cfda922d1bf16b3899	8459	7d52171faf6c66ac062b708e78ccb0824b86978e2c86a9cfda922d1bf16b3899	byte-identical copy
paper	paper-source.zip!/appendix/D_cross_domain.tex		paper/appendix/D_cross_domain.tex	5491	65c2e2a79455834d08a10263dd38808b15278f6cdab2d266ea6bf87140fbc53b	5491	65c2e2a79455834d08a10263dd38808b15278f6cdab2d266ea6bf87140fbc53b	byte-identical copy
paper	paper-source.zip!/appendix/E_additional_theory.tex		paper/appendix/E_additional_theory.tex	3106	08b923aec82d280e9c104a78d2ffe5430239dcc4250f31daa8c7234423eeaa34	3106	08b923aec82d280e9c104a78d2ffe5430239dcc4250f31daa8c7234423eeaa34	byte-identical copy
paper	paper-source.zip!/appendix/F_legacy_experiments.tex		paper/appendix/F_legacy_experiments.tex	2618	49638531f7a4fe9edd36108df7f6f89f9afe2cbc8e109841190f483889515026	2618	49638531f7a4fe9edd36108df7f6f89f9afe2cbc8e109841190f483889515026	byte-identical copy
paper	paper-source.zip!/figures/standalone/fig1a_matched_audit.tex		paper/figures/standalone/fig1a_matched_audit.tex	666	d2b002317fd0a4c677e1f13c2fc78df3337d7f35497a152f701374e8df1d9f9c	666	d2b002317fd0a4c677e1f13c2fc78df3337d7f35497a152f701374e8df1d9f9c	byte-identical copy
paper	paper-source.zip!/figures/standalone/fig1b_peer_projection.tex		paper/figures/standalone/fig1b_peer_projection.tex	1058	992ab47c5a2082ec66b6ee0d896944f267a8c08244dc88295610b2bdb48717b2	1058	992ab47c5a2082ec66b6ee0d896944f267a8c08244dc88295610b2bdb48717b2	byte-identical copy
paper	paper-source.zip!/figures/standalone/fig2a_group_gain.tex		paper/figures/standalone/fig2a_group_gain.tex	5951	bb777fdd6120ae31671fcf31fe1619a2d19cfbe3a0958b7a0c577f153b95120f	5951	bb777fdd6120ae31671fcf31fe1619a2d19cfbe3a0958b7a0c577f153b95120f	byte-identical copy
